article,author,url,DOI,year
E-band double layer cavity backed slot array antenna,"Peiye Liu;
Qihui Hu;
Zhixing Chen",https://ieeexplore.ieee.org/document/8229039/,10.1109/ISANP.2017.8229039,Year: 2017
A printed dipole antenna with tapered slot feed for ultrawide-band applications,"Tzyh-Ghuang Ma;
Shyh-Kang Jeng",https://ieeexplore.ieee.org/document/1528755/,10.1109/TAP.2005.858819,Year: 2005
"Differentially Fed, Dual-Band Dual-Polarized Filtering Antenna With High Selectivity for 5G Sub-6 GHz Base Station Applications","Yapeng Li;
Zhipeng Zhao;
Zhaoyang Tang;
Yingzeng Yin",https://ieeexplore.ieee.org/document/8930637/,10.1109/TAP.2019.2957720,Year: 2020
A Differential Broadband Dual-Polarized Base Station Antenna Element for 4G And 5G Applications,"Ning Luo;
Yejun He;
Long Zhang;
Sai-Wai Wong;
Chao Li;
Yi Huang",https://ieeexplore.ieee.org/document/9018766/,10.1109/ComComAp46287.2019.9018766,Year: 2019
A Compact Ultrawideband MIMO Antenna Using QSCA for High Isolation,"X.–L. Liu;
Z.–D. Wang;
Y.–Z. Yin;
J. Ren;
J.–J. Wu",https://ieeexplore.ieee.org/document/6858005/,10.1109/LAWP.2014.2340395,Year: 2014
Tapered Low Profile UWB Directive Antenna for Radar and Sensing Applications,"Jeffrey Chiu;
Kamal Sarabandi",https://ieeexplore.ieee.org/document/8609381/,10.1109/APUSNCURSINRSM.2018.8609381,Year: 2018
2.4/5 GHz Dual-Band Multilayer Slot Array Antenna,Haruichi Kanaya,https://ieeexplore.ieee.org/document/9886196/,10.1109/AP-S/USNC-URSI47032.2022.9886196,Year: 2022
Very-Low-Profile Grounded Coplanar Waveguide-Fed Dual-Band WLAN Slot Antenna for On-Body Antenna Application,"Kin-Lu Wong;
Hsuan-Jui Chang;
Chung-Ying Wang;
Shao-Yu Wang",https://ieeexplore.ieee.org/document/8935183/,10.1109/LAWP.2019.2958961,Year: 2020
Ninth International Conference on Antennas and Propagation (Conf. Publ. No.407),"1995 Ninth International Conference on Antennas and Propagation, ICAP '95 (Conf. Publ. No. 407)
Year: 1995 | Volume: 1 | Conference Paper | Publisher: IET",https://ieeexplore.ieee.org/document/396174/,,Year: 1995
A Single-Layer Wideband Circularly Polarized Antenna for Millimeter-Wave Applications,"Yu-Hang Yang;
Bao-Hua Sun;
Jing-Li Guo",https://ieeexplore.ieee.org/document/8895776/,10.1109/TAP.2019.2951518,Year: 2020
On the Assessment of Antenna Patterns for Wideband Amplitude-Only Direction Finding,"Muhannad A. Al-Tarifi;
Dejan S. Filipovic",https://ieeexplore.ieee.org/document/8249788/,10.1109/LAWP.2018.2791199,Year: 2018
"Small-sized, printed 2.4/5-GHz WLAN notebook antenna aimed for 4×4 multiple transmit/receive antennas in future Gbps communications","Saou-Wen Su;
Bin-Chyi Tseng",https://ieeexplore.ieee.org/document/8393954/,10.1109/ISEMC.2018.8393954,Year: 2018
Compact Internal Wideband Antenna for Wireless USB Dongle Application,"Jin-Gang Gong;
Yong-Chang Jiao;
Qiao Li;
Yue Song;
Jian Wang",https://ieeexplore.ieee.org/document/5560716/,10.1109/LAWP.2010.2072950,Year: 2010
Wideband rectangular dielectric resonator antenna for W-LAN applications,"S. Mridula;
B. Pau';
S.K. Menon;
C.K. Aanandan;
K. Vasudevan;
P. Mohanan;
P.V. Bijumon;
M.T. Sebastian",https://ieeexplore.ieee.org/document/1330439/,10.1109/APS.2004.1330439,Year: 2004
DRA-Fed Broadband Metasurface Antennas Using Characteristic Mode Analysis,"Yonghui Qiu;
Zibin Weng;
Jianfeng Liu;
Bo He",https://ieeexplore.ieee.org/document/8963256/,,Year: 2019
A New Aperture for Switched-Beam Low-Profile Ku-Band Mobile Terminal Array Antennas [EurAAP Corner],"Frédéric Bongard;
Daniel Llorens del Río;
Maria Carolina Viganó;
Stefano Vaccaro",https://ieeexplore.ieee.org/document/6294007/,10.1109/MAP.2012.6294007,Year: 2012
A Dual-Polarized Dual-Band Antenna With Omni-Directional Radiation Patterns,"Yi Liu;
Xi Li;
Lin Yang;
Ying Liu",https://ieeexplore.ieee.org/document/7934090/,10.1109/TAP.2017.2708093,Year: 2017
Meandered slot arm loaded electronically tunable microstrip antenna using varactors,"S.V. Shynu;
G. Augustin;
C.K. Aanandan;
P. Mohanan;
K. Vasudevan",https://ieeexplore.ieee.org/document/1710494/,10.1109/APS.2006.1710494,Year: 2006
Compact Dual-Polarized Shared-Dipole Antennas for Base Station Applications,"Le-Hu Wen;
Steven Gao;
Qi Luo;
Chun-Xu Mao;
Wei Hu;
Yingzeng Yin;
Yonggang Zhou;
Qiwei Wang",https://ieeexplore.ieee.org/document/8470132/,10.1109/TAP.2018.2871717,Year: 2018
Patch Array Antenna Using a Dual Coupled Feeding Structure for 79 GHz Automotive Radar Applications,"Sungjun Yoo;
Yaroslav Milyakh;
Heeyoung Kim;
Choulhee Hong;
Hosung Choo",https://ieeexplore.ieee.org/document/9015991/,10.1109/LAWP.2020.2976545,Year: 2020
Uniplanar Ultrawideband Polarization Diversity Antenna With Dual Band-Notched Characteristics,"He Huang;
Ying Liu;
Shaoshuai Zhang;
Shuxi Gong",https://ieeexplore.ieee.org/document/6891128/,10.1109/LAWP.2014.2354051,Year: 2014
New design of multilayer wideband gnss antenna with dual layer strip lines fed,"Yang Lin;
Zheng Xianbao;
Li Xi",https://ieeexplore.ieee.org/document/7821509/,,Year: 2016
A Dual Band SIR Coupled Dipole Antenna for 2.4/5.2/5.8 GHz Applications,"U. Deepak;
T. K. Roshna;
C. M. Nijas;
K. Vasudevan;
P. Mohanan",https://ieeexplore.ieee.org/document/7014297/,10.1109/TAP.2015.2393876,Year: 2015
A Broadband High-Gain H-plane SIW Horn Antenna,"Yaling Chen;
Long Zhang;
Yejun He;
Sai-Wai Wong;
Wenting Li;
Steven Gao",https://ieeexplore.ieee.org/document/9386535/,10.1109/ICMMT49418.2020.9386535,Year: 2020
A Three-Fed Microstrip Antenna for Wideband Circular Polarization,"Chen Lin;
Fu-Shun Zhang;
Yong-Chang Jiao;
Fan Zhang;
Xin Xue",https://ieeexplore.ieee.org/document/5447697/,10.1109/LAWP.2010.2048296,Year: 2010
Polarization-Diversity Conformal VHF Antenna with Near-Perfect Radiation Efficiency for Small UAVs,"Tayfun Özdemir;
Chris N. Davis",https://ieeexplore.ieee.org/document/8888740/,10.1109/APUSNCURSINRSM.2019.8888740,Year: 2019
Broadband microstrip-line-fed monopole antenna,"Chih-Yu Tsai;
Oscal T.-C. Chen",https://ieeexplore.ieee.org/document/6333146/,10.1109/APCAP.2012.6333146,Year: 2012
1X4 Microstrip Antenna Array Based on SICL Transmission Line Technology,"Jing Sun;
Xue Han Hu;
Le Xu;
Feng Wei",https://ieeexplore.ieee.org/document/9246034/,10.1109/APCAP50217.2020.9246034,Year: 2020
A Low-Profile Dual-Band Dual-Circularly Polarized Folded Transmitarray Antenna With Independent Beam Control,"Haoyu Lei;
Ying Liu;
Yongtao Jia;
Zhenzhen Yue;
Xing Wang",https://ieeexplore.ieee.org/document/9611077/,10.1109/TAP.2021.3125419,Year: 2022
